entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Manuel María Ponce Brousset,Fecha de nacimiento,['1874-04-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel María Ponce Brousset?,['1874-04-05'],['peru'],[[]]
Manuel María de Peralta y Alfaro,Fecha de nacimiento,['1847-07-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel María de Peralta y Alfaro?,['1847-07-04'],['costa_rica'],[[]]
Manuel Medina,Fecha de nacimiento,['1976-07-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Medina?,['1976-07-14'],['venezuela'],[[]]
Manuel Mejía Vallejo,Fecha de nacimiento,['1923-04-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Mejía Vallejo?,['1923-04-23'],['colombia'],[[]]
Manuel Menéndez,Fecha de nacimiento,['1793-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Menéndez?,['1793-01-01'],['peru'],[[]]
Manuel Mondragón,Fecha de nacimiento,['1859-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Mondragón?,['1859-01-01'],['mexico'],[[]]
Manuel Mora Fernández,Fecha de nacimiento,['1800-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Mora Fernández?,['1800-01-01'],['costa_rica'],[[]]
Manuel Mora Valverde,Fecha de nacimiento,['1909-08-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Mora Valverde?,['1909-08-27'],['costa_rica'],[[]]
Manuel Mosquera,Fecha de nacimiento,['1984-10-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Mosquera?,['1984-10-14'],['panama'],[[]]
Manuel Márquez Sterling,Fecha de nacimiento,['1872-08-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Márquez Sterling?,['1872-08-28'],['cuba'],[[]]
Manuel Noriega,Fecha de nacimiento,['1934-02-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Noriega?,['1934-02-11'],['panama'],[[]]
Manuel Odría,Fecha de nacimiento,['1897-11-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Odría?,['1897-11-26'],['peru'],[[]]
Manuel Pellegrini,Fecha de nacimiento,['1953-09-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Pellegrini?,['1953-09-16'],['chile'],[[]]
Manuel Piar,Fecha de nacimiento,['1774-04-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Piar?,['1774-04-28'],['venezuela'],[[]]
Manuel Prado Ugarteche,Fecha de nacimiento,['1889-04-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Prado Ugarteche?,['1889-04-21'],['peru'],[[]]
Manuel Recinos,Fecha de nacimiento,['1944-02-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Recinos?,['1944-02-04'],['guatemala'],[[]]
Manuel Rivera Garrido,Fecha de nacimiento,['1978-03-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Rivera Garrido?,['1978-03-16'],['peru'],[[]]
Manuel Rodas,Fecha de nacimiento,['1984-07-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Rodas?,['1984-07-05'],['guatemala'],[[]]
Manuel Rodríguez Araneda,Fecha de nacimiento,"['1938-01-18', '1939-04-18']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Rodríguez Araneda?,"['1938-01-18', '1939-04-18']","['chile', 'chile']","[[], []]"
Manuel Rojas,Fecha de nacimiento,['1831-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Rojas?,['1831-01-01'],['venezuela'],[[]]
Manuel Rosales,Fecha de nacimiento,['1952-12-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Rosales?,['1952-12-12'],['venezuela'],[[]]
Manuel Ruiz Montealegre,Fecha de nacimiento,['1975-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Ruiz Montealegre?,['1975-01-01'],['colombia'],[[]]
Manuel Ruiz,Fecha de nacimiento,['1957-02-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Ruiz?,['1957-02-15'],['costa_rica'],[[]]
Manuel Salvador Dávila,Fecha de nacimiento,['1924-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Salvador Dávila?,['1924-01-01'],['nicaragua'],[[]]
Manuel Scorza,Fecha de nacimiento,['1928-09-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Scorza?,['1928-09-09'],['peru'],[[]]
Manuel Simonó,Fecha de nacimiento,['1979-06-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Simonó?,['1979-06-25'],['republica_dominicana'],[[]]
Manuel Solís Palma,Fecha de nacimiento,['1917-12-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Solís Palma?,['1917-12-03'],['panama'],[[]]
Manuel Torres,Fecha de nacimiento,['1978-11-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Torres?,['1978-11-25'],['panama'],[[]]
Manuel Trucco,Fecha de nacimiento,['1875-03-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Trucco?,['1875-03-18'],['chile'],[[]]
Manuel Uribe Garza,Fecha de nacimiento,['1965-06-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Uribe Garza?,['1965-06-11'],['mexico'],[[]]
Manuel Urrutia Lleó,Fecha de nacimiento,['1901-12-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Urrutia Lleó?,['1901-12-08'],['cuba'],[[]]
Manuel Zelaya,Fecha de nacimiento,['1952-09-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Zelaya?,['1952-09-20'],['honduras'],[[]]
Manuel de Adalid y Gamero,Fecha de nacimiento,['1872-02-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de Adalid y Gamero?,['1872-02-08'],['honduras'],[[]]
Manuel de Ascasubi y Matheu,Fecha de nacimiento,['1804-12-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de Ascasubi y Matheu?,['1804-12-30'],['ecuador'],[[]]
Manuel de Escandón,Fecha de nacimiento,['1857-08-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de Escandón?,['1857-08-13'],['mexico'],[[]]
Manuel de Jesús Troncoso,Fecha de nacimiento,['1878-04-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de Jesús Troncoso?,['1878-04-03'],['republica_dominicana'],[[]]
Manuel de Regla Mota,Fecha de nacimiento,['1795-11-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de Regla Mota?,['1795-11-21'],['republica_dominicana'],[[]]
Manuel de la Cruz Tot,Fecha de nacimiento,['1790-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel de la Cruz Tot?,['1790-01-01'],['guatemala'],[[]]
Manuel «Guajiro» Mirabal,Fecha de nacimiento,['1933-05-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel «Guajiro» Mirabal?,['1933-05-05'],['cuba'],[[]]
Manuel Álvarez Zamora,Fecha de nacimiento,['1800-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Álvarez Zamora?,['1800-01-01'],['mexico'],[[]]
Manuela Cañizares,Fecha de nacimiento,['1769-08-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuela Cañizares?,['1769-08-27'],['ecuador'],[[]]
Manuela Díez Jiménez,Fecha de nacimiento,['1786-06-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuela Díez Jiménez?,['1786-06-26'],['republica_dominicana'],[[]]
Manuela Martelli,Fecha de nacimiento,['1983-04-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuela Martelli?,['1983-04-16'],['chile'],[[]]
Manuela Sáenz,Fecha de nacimiento,['1797-12-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuela Sáenz?,['1797-12-27'],['ecuador'],[[]]
Maraya Lopez,Fecha de nacimiento,['2003-08-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maraya Lopez?,['2003-08-16'],['panama'],[[]]
Marcela Contreras,Fecha de nacimiento,['1942-01-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcela Contreras?,['1942-01-04'],['chile'],[[]]
Marcelino Blanco,Fecha de nacimiento,['1966-01-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelino Blanco?,['1966-01-03'],['paraguay'],[[]]
Marcelino Bolívar,Fecha de nacimiento,['1964-07-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelino Bolívar?,['1964-07-14'],['venezuela'],[[]]
Marcelino García Flamenco,Fecha de nacimiento,['1888-09-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelino García Flamenco?,['1888-09-15'],['el_salvador'],[[]]
Marcelino Vargas,Fecha de nacimiento,['1921-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelino Vargas?,['1921-02-01'],['paraguay'],[[]]
Marcelo Baez,Fecha de nacimiento,['1991-01-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Baez?,['1991-01-14'],['paraguay'],[[]]
Marcelo Bielsa,Fecha de nacimiento,['1955-07-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Bielsa?,['1955-07-21'],['argentina'],[[]]
Marcelo Estigarribia,Fecha de nacimiento,['1987-09-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Estigarribia?,['1987-09-21'],['paraguay'],[[]]
Marcelo Gallardo,Fecha de nacimiento,['1976-01-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Gallardo?,['1976-01-18'],['argentina'],[[]]
Marcelo Manuel Ferreira Gubetich,Fecha de nacimiento,['1994-02-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Manuel Ferreira Gubetich?,['1994-02-16'],['paraguay'],[[]]
Marcelo Ríos,Fecha de nacimiento,['1975-12-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Ríos?,['1975-12-26'],['chile'],[[]]
Marcelo Salas,Fecha de nacimiento,['1974-12-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Salas?,['1974-12-24'],['chile'],[[]]
Marcelo Santos,Fecha de nacimiento,['1938-08-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Santos?,['1938-08-26'],['ecuador'],[[]]
Marcelo Scura Wismann,Fecha de nacimiento,['1994-07-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Scura Wismann?,['1994-07-18'],['paraguay'],[[]]
Marcelo Tejeda,Fecha de nacimiento,['1988-08-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Tejeda?,['1988-08-05'],['el_salvador'],[[]]
Marcelo Torcuato de Alvear,Fecha de nacimiento,['1868-10-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcelo Torcuato de Alvear?,['1868-10-04'],['argentina'],[[]]
Marcia González Aguiluz,Fecha de nacimiento,['1969-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcia González Aguiluz?,['1969-01-01'],['costa_rica'],[[]]
Marcial Garay,Fecha de nacimiento,['1968-04-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcial Garay?,['1968-04-29'],['paraguay'],[[]]
Marcial Humberto Guzmán Saballos,Fecha de nacimiento,['1965-02-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcial Humberto Guzmán Saballos?,['1965-02-15'],['nicaragua'],[[]]
Marcial Ávalos,Fecha de nacimiento,['1921-12-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcial Ávalos?,['1921-12-05'],['paraguay'],[[]]
Marcio Valverde,Fecha de nacimiento,['1987-10-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcio Valverde?,['1987-10-23'],['peru'],[[]]
Marco A. Gandásegui,Fecha de nacimiento,['1943-04-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco A. Gandásegui?,['1943-04-28'],['panama'],[[]]
Marco Antonio Anariba,Fecha de nacimiento,['1968-02-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Antonio Anariba?,['1968-02-18'],['honduras'],[[]]
Marco Antonio Andino,Fecha de nacimiento,['1955-04-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Antonio Andino?,['1955-04-25'],['honduras'],[[]]
Marco Antonio Flores,Fecha de nacimiento,['1937-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Antonio Flores?,['1937-01-01'],['guatemala'],[[]]
Marco Antonio García,Fecha de nacimiento,['1981-12-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Antonio García?,['1981-12-08'],['honduras'],[[]]
Marco Arana,Fecha de nacimiento,['1962-10-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Arana?,['1962-10-20'],['peru'],[[]]
Marco Arriagada,Fecha de nacimiento,['1975-10-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Arriagada?,['1975-10-30'],['chile'],[[]]
Marco Aurelio Robles,Fecha de nacimiento,['1905-11-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Aurelio Robles?,['1905-11-08'],['panama'],[[]]
Marco Ciani,Fecha de nacimiento,['1987-03-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Ciani?,['1987-03-07'],['guatemala'],[[]]
Marco Estrada,Fecha de nacimiento,['1983-05-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Estrada?,['1983-05-28'],['chile'],[[]]
Marco Fabián de la Mora,Fecha de nacimiento,['1989-07-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Fabián de la Mora?,['1989-07-21'],['mexico'],[[]]
Marco Flores Troncoso,Fecha de nacimiento,['1953-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Flores Troncoso?,['1953-01-01'],['ecuador'],[[]]
Marco Guillén,Fecha de nacimiento,['1987-12-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Guillén?,['1987-12-05'],['costa_rica'],[[]]
Marco Iván Kaviedes Micolta,Fecha de nacimiento,['1995-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Iván Kaviedes Micolta?,['1995-01-01'],['ecuador'],[[]]
Marco Mena,Fecha de nacimiento,['1989-11-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Mena?,['1989-11-03'],['costa_rica'],[[]]
Marco Pfingst,Fecha de nacimiento,['1993-03-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Pfingst?,['1993-03-29'],['paraguay'],[[]]
Marco Ponce,Fecha de nacimiento,['1901-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Ponce?,['1901-01-01'],['ecuador'],[[]]
Marco Proaño Maya,Fecha de nacimiento,['1945-03-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Proaño Maya?,['1945-03-12'],['ecuador'],[[]]
Marco Rivas,Fecha de nacimiento,['1991-04-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Rivas?,['1991-04-20'],['guatemala'],[[]]
Marco Ruiz,Fecha de nacimiento,['1974-12-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Ruiz?,['1974-12-02'],['paraguay'],[[]]
Marco Salas Arias,Fecha de nacimiento,['1985-09-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Salas Arias?,['1985-09-09'],['costa_rica'],[[]]
Marco Salas Morera,Fecha de nacimiento,['1982-02-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Salas Morera?,['1982-02-15'],['costa_rica'],[[]]
Marco Segura,Fecha de nacimiento,['1986-10-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Segura?,['1986-10-18'],['ecuador'],[[]]
Marco Tenorio,Fecha de nacimiento,['1977-02-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Tenorio?,['1977-02-06'],['ecuador'],[[]]
Marco Tulio Medina,Fecha de nacimiento,['1959-09-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Tulio Medina?,['1959-09-19'],['honduras'],[[]]
Marco Tulio Vega,Fecha de nacimiento,"['1987-04-14', '1988-08-07']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Tulio Vega?,"['1987-04-14', '1988-08-07']","['honduras', 'honduras']","[[], []]"
Marco Ureña,Fecha de nacimiento,['1990-03-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Ureña?,['1990-03-05'],['costa_rica'],[[]]
Marco Vinicio Aragonés,Fecha de nacimiento,['1991-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Vinicio Aragonés?,['1991-01-01'],['costa_rica'],[[]]
Marco Yonier Pérez Murillo,Fecha de nacimiento,['1990-09-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marco Yonier Pérez Murillo?,['1990-09-18'],['colombia'],[[]]
Marconi Durán Montoya,Fecha de nacimiento,['1980-11-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marconi Durán Montoya?,['1980-11-21'],['costa_rica'],[[]]
Marcos Acosta,Fecha de nacimiento,['1991-12-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Acosta?,['1991-12-07'],['paraguay'],[[]]
Marcos Antonio Morínigo,Fecha de nacimiento,['1848-10-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Antonio Morínigo?,['1848-10-08'],['paraguay'],[[]]
Marcos Augusto Morínigo,Fecha de nacimiento,['1904-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Augusto Morínigo?,['1904-01-01'],['paraguay'],[[]]
Marcos Aurelio Pérez Caicedo,Fecha de nacimiento,['1967-07-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Aurelio Pérez Caicedo?,['1967-07-14'],['ecuador'],[[]]
Marcos Calderón,Fecha de nacimiento,['1928-07-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Calderón?,['1928-07-11'],['peru'],[[]]
Marcos Coll,Fecha de nacimiento,"['1935-05-23', '1935-08-23']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Coll?,"['1935-05-23', '1935-08-23']","['colombia', 'colombia']","[[], []]"
Marcos Cáceres,Fecha de nacimiento,['1986-05-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Cáceres?,['1986-05-05'],['paraguay'],[[]]
Marcos David Rabino Rolon,Fecha de nacimiento,['1992-03-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos David Rabino Rolon?,['1992-03-31'],['paraguay'],[[]]
Marcos Delpadre,Fecha de nacimiento,['1991-06-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Delpadre?,['1991-06-18'],['paraguay'],[[]]
Marcos G. McGrath,Fecha de nacimiento,['1924-02-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos G. McGrath?,['1924-02-10'],['panama'],[[]]
Marcos González Salazar,Fecha de nacimiento,['1980-06-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos González Salazar?,['1980-06-09'],['chile'],[[]]
Marcos Mateo,Fecha de nacimiento,['1984-04-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Mateo?,['1984-04-18'],['republica_dominicana'],[[]]
Marcos P. Jimenez,Fecha de nacimiento,['1914-04-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos P. Jimenez?,['1914-04-25'],['venezuela'],[[]]
Marcos Riveros,Fecha de nacimiento,['1988-09-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Riveros?,['1988-09-04'],['paraguay'],[[]]
Marcos Sánchez,Fecha de nacimiento,['1989-12-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marcos Sánchez?,['1989-12-23'],['panama'],[[]]
Marelissa Him,Fecha de nacimiento,['1988-07-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Marelissa Him?,['1988-07-02'],['panama'],[[]]
